Rho  Energy/N   qs      qs_c       S_ex     S_ex_c    FE    FE_c
0.01 0.000014 0.000063 0.000062 0.000004 0.000004 0.000021 0.000021
0.02 0.000025 0.000054 0.000052 0.000007 0.000007 0.000037 0.000036
0.03 0.000008 0.000018 0.000018 0.000003 0.000003 0.000016 0.000016
0.04 0.000024 0.000029 0.000028 0.000007 0.000007 0.000038 0.000037
0.05 0.000024 0.000026 0.000026 0.000008 0.000008 0.000041 0.000041
0.06 0.000022 0.000016 0.000017 0.000006 0.000006 0.000033 0.000034
0.06 0.000022 0.000016 0.000017 0.000006 0.000006 0.000033 0.000034
0.08 0.000023 0.000014 0.000015 0.000007 0.000008 0.000036 0.000038
0.09 0.000031 0.000011 0.000011 0.000006 0.000006 0.000039 0.000039
0.1 0.000017 0.000006 0.000007 0.000004 0.000004 0.000023 0.000024
0.2 0.000068 0.000015 0.000015 0.000019 0.000019 0.000101 0.000101
0.4 0.000129 0.000012 0.000012 0.000030 0.000030 0.000177 0.000177
0.6 0.000160 0.000008 0.000008 0.000030 0.000030 0.000201 0.000201
0.8 0.000271 0.000014 0.000014 0.000070 0.000070 0.000391 0.000391
