Rho  FE_APE  FE_APE_c  FE_MAE   FE_MAE_c   FE_MBE   FE_MBE_c SEX_APE SEX_APE_c  SEX_MAE  SEX_MAE_c  SEX_MBE  SEX_MBE_c
0.01 4.19 0.88 0.0008 0.0002 -0.0008 0.0002 1.35 0.28 0.0002 0.0000 0.0002 -0.0000
0.02 0.01 2.25 0.0000 0.0009 -0.0000 0.0009 0.00 0.73 0.0000 0.0002 0.0000 -0.0002
0.03 2.17 3.50 0.0013 0.0020 0.0013 0.0020 0.71 1.15 0.0003 0.0005 -0.0003 -0.0005
0.04 3.89 4.77 0.0030 0.0037 0.0030 0.0037 1.29 1.59 0.0008 0.0009 -0.0008 -0.0009
0.05 5.37 5.99 0.0053 0.0059 0.0053 0.0059 1.80 2.01 0.0013 0.0015 -0.0013 -0.0015
0.06 6.72 7.16 0.0081 0.0086 0.0081 0.0086 2.28 2.43 0.0020 0.0022 -0.0020 -0.0022
0.06 6.72 7.16 0.0081 0.0086 0.0081 0.0086 2.28 2.43 0.0020 0.0022 -0.0020 -0.0022
0.08 9.21 9.45 0.0152 0.0156 0.0152 0.0156 3.18 3.27 0.0038 0.0039 -0.0038 -0.0039
0.09 10.35 10.53 0.0194 0.0198 0.0194 0.0198 3.61 3.68 0.0049 0.0049 -0.0049 -0.0049
0.1 11.48 11.61 0.0243 0.0245 0.0243 0.0245 4.05 4.09 0.0061 0.0061 -0.0061 -0.0061
0.2 20.98 20.95 0.1012 0.1010 0.1012 0.1010 8.14 8.13 0.0253 0.0253 -0.0253 -0.0253
0.4 33.18 33.16 0.4182 0.4180 0.4182 0.4180 15.50 15.49 0.1046 0.1045 -0.1046 -0.1045
0.6 37.00 37.01 0.9276 0.9279 0.9276 0.9279 21.00 21.01 0.2319 0.2320 -0.2319 -0.2320
0.8 34.40 34.43 1.5706 1.5720 1.5706 1.5720 24.36 24.38 0.3926 0.3930 -0.3926 -0.3930
