Rho   Box   Energy/N      qs     qs_c    S_ex      S_ex_c    S_ex_TI   FE/N    FE_c/N  FE_TI/N
0.01 36.84 -0.039463 0.234872 0.231087 -0.014750 -0.014512 -0.014554 0.019537 0.018586 0.018752
0.02 29.24 -0.078779 0.232477 0.230770 -0.029199 -0.028985 -0.029199 0.038018 0.037160 0.038015
0.03 25.54 -0.117946 0.231515 0.230492 -0.043617 -0.043425 -0.043931 0.056523 0.055752 0.057777
0.04 23.21 -0.156952 0.230892 0.230208 -0.058000 -0.057828 -0.058760 0.075048 0.074361 0.078088
0.05 21.54 -0.195813 0.230419 0.229932 -0.072352 -0.072199 -0.073680 0.093593 0.092982 0.098906
0.06 20.27 -0.234525 0.230043 0.229690 -0.086680 -0.086547 -0.088700 0.112196 0.111664 0.120277
0.07 19.26 -0.273101 0.229707 0.229446 -0.100979 -0.100864 -0.103822 0.130815 0.130357 0.142187
0.08 18.42 -0.311506 0.229410 0.229213 -0.115256 -0.115157 -0.119046 0.149517 0.149121 0.164678
0.09 17.71 -0.349804 0.229155 0.229009 -0.129518 -0.129436 -0.134375 0.168269 0.167939 0.187695
0.1 17.1 -0.387881 0.228890 0.228783 -0.143743 -0.143676 -0.149808 0.187091 0.186822 0.211350
0.2 13.57 -0.760149 0.227143 0.227173 -0.285292 -0.285329 -0.310584 0.381017 0.381168 0.482186
0.4 10.77 -1.436976 0.226844 0.226870 -0.569832 -0.569897 -0.674389 0.842353 0.842614 1.260582
0.6 9.41 -1.909556 0.231489 0.231466 -0.872251 -0.872164 -1.104151 1.579447 1.579100 2.507049
0.8 8.55 -1.881076 0.242670 0.242601 -1.219174 -1.218827 -1.611822 2.995621 2.994234 4.566211
